scientific_name,longitude,latitude
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,94.17,28.83
Pinus densata,94.1638,29.7488
Pinus densata,99.8125,27.457
Pinus densata,99.9283,29.1411
Pinus densata,96.065,29.7372
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.07705,28.33741
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.73722,27.88572
Pinus densata,99.73722,27.88572
Pinus densata,99.73722,27.88572
Pinus densata,99.73722,27.88572
Pinus densata,99.81663,27.81205
Pinus densata,99.73722,27.88572
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,99.73722,27.88572
Pinus densata,99.81663,27.81205
Pinus densata,99.73722,27.88572
Pinus densata,99.81663,27.81205
Pinus densata,99.81663,27.81205
Pinus densata,96.065,29.7372
Pinus densata,99.9283,29.1411
Pinus densata,100.235278,27.07
Pinus densata,100.235278,27.07
Pinus densata,99.62,27.88
Pinus densata,101.89,30.87
Pinus densata,101.5,29
Pinus densata,99.79,28.93
Pinus densata,99.79,28.93
Pinus densata,99.79,28.93
Pinus densata,99.79,28.93
Pinus densata,99.79,28.93
Pinus densata,99.79,28.93
Pinus densata,99.79,28.93
Pinus densata,95.33,29.32
Pinus densata,95.33,29.32
Pinus densata,95.33,29.32
Pinus densata,97.46,28.66
Pinus densata,97.46,28.66
Pinus densata,102.36,30.99
Pinus densata,101.78,35.87
Pinus densata,102.36,30.99
Pinus densata,102.36,30.99
Pinus densata,102.36,30.99
Pinus densata,102.36,30.99
Pinus densata,101.96,30.05
Pinus densata,101.96,30.05
Pinus densata,101.96,30.05
Pinus densata,101.96,30.05
Pinus densata,101.96,30.05
Pinus densata,101.96,30.05
Pinus densata,91.12,29.65
Pinus densata,91.12,29.65
Pinus densata,91.12,29.65
Pinus densata,100.31,30.93
Pinus densata,93.07,29.04
Pinus densata,93.07,29.04
Pinus densata,93.07,29.04
Pinus densata,93.07,29.04
Pinus densata,101.27,27.92
Pinus densata,93.07,29.04
Pinus densata,101.27,27.92
Pinus densata,101.27,27.92
Pinus densata,101.27,27.92
Pinus densata,101.27,27.92
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
