Species number,lat,lon,Distribution point
92,39.899728,111.207562,"Zhungeer banner, Ordos City, Inner Mongolia Autonomous Region, China"
93,37.892941,111.228933,"Yuping Township, Lin County, Luliang City, Shanxi Province, China"
94,31.87876,111.268587,"Baokang County, Xiangyang City, Hubei Province, China"
95,33.760151,111.392891,"Taowan Town, Luanchuan County, Luoyang City, Henan Province, China"
96,38.70427,111.57296,"Kelan County, Xinzhou City, Shanxi Province, China"
97,36.093361,111.577063,"Yaodu District, Linfen City, Shanxi Province, China"
98,36.08301,111.57873,"Yaodu District, Linfen City, Shanxi Province, China"
99,40.80772,111.62299,"Huimin District, Hohhot City, Inner Mongolia Autonomous Region, China"
100,35.75912,111.701946,"Tangxing Town, Yicheng County, Linfen City, Shanxi Province, China"
101,33.618031,111.736107,"Xixia County, Nanyang City, Henan Province, China"
102,33.019028,111.786919,"Tuandong Town, Neixiang County, Nanyang City, Henan Province, China"
103,38.91568,111.815157,"Wuzhai County, Xinzhou City, Shanxi Province, China"
104,37.015438,111.922188,"Jiexiu City, Jinzhong City, Shanxi Province, China"
105,34.107541,112.016945,"He Cun Xiang, Song County, Luoyang City, Henan Province, China"
106,37.57159,112.142086,"Jiaocheng County, Luliang City, Shanxi Province, China"
107,35.700383,112.185431,"Qinshui County, Jincheng City, Shanxi Province, China"
108,35.699407,112.185774,"Qinshui County, Jincheng City, Shanxi Province, China"
109,33.702555,112.295466,"Nanzhao County, Nanyang City, Henan Province, China"
110,37.709122,112.442009,"Jinci Town, Jinyuan District, Taiyuan City, Shanxi Province, China"
111,37.710122,112.440009,"Jinci Town, Jinyuan District, Taiyuan City, Shanxi Province, China"
112,34.70431,112.51078,"Fuhe Hui District, Luoyang City, Henan Province, China"
113,33.00259,112.58728,"Wancheng District, Nanyang City, Henan Province, China"
114,37.403574,112.614327,"Gucheng Town, Wuxiang County, Changzhi City, Shanxi Province, China"
115,33.706063,112.890701,"Lushan County, Pingdingshan City, Henan Province, China"
116,34.631813,112.942314,"Xicun Town, Gongyi City, Zhengzhou City, Henan Province, China"
117,36.19581,113.11649,"Luzhou District, Changzhi City, Shanxi Province, China"
118,33.1506,113.157349,"Fangcheng County, Nanyang City, Henan Province, China"
119,40.017365,113.213158,"Yungang District, Datong City, Shanxi Province, China"
120,39.126598,113.230591,"Ekou Town, Dai County, Xinzhou City, Shanxi Province, China"
121,35.264202,113.234798,"Jiefang District, Jiaozuo City, Henan Province, China"
122,35.762393,113.236084,"Chongwen Town, Lingchuan County, Jincheng City, Shanxi Province, China"
123,38.721412,113.295822,"Gounan Township, Wutai County, Xinzhou City, Shanxi Province, China"
124,37.091404,113.362856,"Liaoyang Town, Zuoquan County, Jinzhong City, Shanxi Province, China"
125,35.229986,113.479167,"Xiuwu County, Jiaozuo City, Henan Province, China"
126,34.73518,113.533737,"Zhongyuan District, Zhengzhou City, Henan Province, China"
127,39.303974,113.568031,"Shahe Town, Fanshi County, Xinzhou City, Shanxi Province, China"
128,38.972832,113.571281,"Wutai County, Xinzhou City, Shanxi Province, China"
129,36.16597,113.725868,"Linzhou City, Anyang City, Henan Province, China"
130,35.538093,113.831062,"Huixian County, Xinxiang City, Henan Province, China"
131,36.810807,113.84913,"Guantao Township, Wu'an city, Handan City, Hebei Province, China"
132,40.07373,113.930359,"Gucheng Town, Yanggao County, Datong City, Shanxi Province, China"
133,35.051052,113.981712,"Yuanyang County, Xinxiang City, Henan Province, China"
134,32.11782,114.048042,"Shihe District, Xinyang City, Henan Province, China"
135,40.11512,114.163551,"Yangyuan County, Zhangjiakou City, Hebei Province, China"
136,39.386591,114.209061,"Wuling Town, Lingqiu County, Datong City, Shanxi Province, China"
137,34.78861,114.34816,"Shunhe Hui District, Kaifeng City, Henan Province, China"
138,36.698705,114.400635,"Congtai District, Handan City, Hebei Province, China"
139,38.108063,114.417213,"Xinhua District, Shijiazhuang City, Hebei Province, China"
140,37.101741,114.544144,"Xiangdu District, Xingtai City, Hebei Province, China"
141,37.992916,114.668427,"Gaocheng District, Shijiazhuang City, Hebei Province, China"
142,31.629999,114.841118,"Xinji Town, Xinxian County, Xinyang City, Henan Province, China"
143,40.668949,114.925041,"Qiaoxi District, Zhangjiakou City, Hebei Province, China"
144,40.668949,114.925041,"Shalingzi Town, Qiaoxi District, Zhangjiakou City, Hebei Province, China"
145,40.046921,114.976349,"Changning Township, Yu County, Zhangjiakou City, Hebei Province, China"
146,40.38003,115.21962,"Zhuolu County, Zhangjiakou City, Hebei Province, China"
147,40.39003,115.22062,"Zhuolu County, Zhangjiakou City, Hebei Province, China"
148,40.980935,115.356445,"Xiwanzi Town, Chongli District, Zhangjiakou City, Hebei Province, China"
149,39.34926,115.49846,"Yi County, Baoding City, Hebei Province, China"
150,40.000215,115.500023,"Qingshui Town, Mentougou District, Beijing, China"
151,38.868061,115.528313,"Lianchi District, Baoding City, Hebei Province, China"
152,35.308762,115.551422,"Mudan District, Heze City, Shandong Province, China"
153,35.07095,115.57298,"Dingtao District, Heze City, Shandong Province, China"
154,28.762016,115.77943,"Xinjian District, Nanchang City, Jiangxi Province, China"
155,39.59538,115.847398,"Fangshan District, Beijing, China"
156,40.45678,115.97503,"Yanqing District, Beijing, China"
157,40.45678,115.97503,"Yanqing District, Beijing, China"
158,40.456091,115.975328,"Yanqing District, Beijing, China"
159,40.205181,116.00193,"Changping District, Beijing, China"
160,29.643099,116.03966,"Haihui Town, Lianxi District, Jiujiang City, Jiangxi Province, China"
161,39.870811,116.086479,"Mentougou District, Beijing, China"
162,36.116965,116.139312,"Banjiudian Town, Dongping County, Tai'an City, Shandong Province, China"
163,36.370433,116.257668,"Dongchangfu District, Liaocheng City, Shandong Province, China"
164,40.535786,116.449585,"Sihai Town, Yanqing District, Beijing, China"
165,35.4082,116.59649,"Yutai County, Jining City, Shandong Province, China"
166,35.4082,116.59649,"Yutai County, Jining City, Shandong Province, China"
167,40.91531,116.606842,"Labagoumen Manchu Township, Huairou District, Beijing, China"
168,40.178226,116.610764,"Zhaoquanying Town, Shunyi District, Beijing, China"
169,36.284135,116.615067,"Hutun Town, Feicheng City, Tai'an City, Shandong Province, China"
170,40.398746,116.651115,"Yanqi Town, Huairou District, Beijing, China"
171,36.55358,116.75199,"Changqing District, Jinan City, Shandong Province, China"
172,41.160702,116.759941,"Nanguan Mongolian Township, Fengning Manchu Autonomous County, Chengde City, Hebei Province, China"
173,40.627995,116.760994,"Miyun District, Beijing, China"
174,40.248008,116.920259,"Miyun District, Beijing, China"
175,35.40522,117.00385,"Zoucheng City, Jining City, Shandong Province, China"
176,30.51227,117.03424,"Daguan District, Anqing City, Anhui Province, China"
177,36.19198,117.13526,"Taishan District, Tai'an City, Shandong Province, China"
178,36.19398,117.13326,"Taishan District, Tai'an City, Shandong Province, China"
179,36.430367,117.236748,"Liubu Town, Licheng District, Jinan City, Shandong Province, China"
180,35.66471,117.25216,"Sishui County, Jining City, Shandong Province, China"
181,39.648163,117.335371,"Baodi District, Tianjin, China"
182,40.04562,117.344981,"Luozhuangzi Town, Jizhou District, Tianjin, China"
183,40.6353,117.379204,"Miyun District, Beijing, China"
184,40.953715,117.394066,"Luanping Town, Luanping county, Chengde City, Hebei Province, China"
185,35.09963,117.4613,"Shanting District, Zaozhuang City, Shandong Province, China"
186,40.41727,117.50076,"Xinglong County, Chengde City, Hebei Province, China"
187,36.37886,117.512848,"Dawangzhuang Town, Laiwu District, Jinan City, Shandong Province, China"
188,36.37886,117.512848,"Dawangzhuang Town, Laiwu District, Jinan City, Shandong Province, China"
189,43.248422,117.545471,"Keshiketeng Banner, Chifeng City, Inner Mongolia Autonomous Region, China"
190,36.641427,117.564011,"Zhangqiu District, Jinan City, Shandong Province, China"
191,41.31381,117.73897,"Longhua County, Chengde City, Hebei Province, China"
192,41.93846,117.76016,"Weichang Manchu and Mongolian Autonomous County, Chengde City, Hebei Province, China"
193,40.859525,117.777557,"Dashimiao Town, Shuangqiao District, Chengde City, Hebei Province, China"
194,42.119911,117.892242,"Yutaihe Township, Weichang Manchu and Mongolian Autonomous County, Chengde City, Hebei Province, China"
195,36.565622,117.94532,"Kunlun town, Zichuan District, Zibo City, Shandong Province, China"
196,41.01659,117.952591,"Shuangqiao District, Chengde City, Hebei Province, China"
197,30.281787,118.05772,"Taipinghu Town, Huangshan District, Huangshan City, Anhui Province, China"
198,36.236797,118.152123,"Nanlushan Town, Yiyuan County, Zibo City, Shandong Province, China"
199,40.764874,118.171783,"Chengde County, Chengde City, Hebei Province, China"
200,39.605492,118.177483,"Lunan District, Tangshan City, Hebei Province, China"
201,34.921291,118.262169,"Jinling Town, Lanling County, Linyi City, Shandong Province, China"
202,35.647503,118.437912,"Yuandongtou Town, Yishui County, Linyi City, Shandong Province, China"
203,41.00174,118.4505,"Pingquan City, Chengde City, Hebei Province, China"
204,36.85462,118.45211,"Huangcheng Town, Linzi District, Zibo City, Shandong Province, China"
205,39.286035,118.483432,"Caofeidian District, Tangshan City, Hebei Province, China"
206,39.554354,118.496475,"Qingtuoying Town, LUANNAN COUNTY, Tangshan City, Hebei Province, China"
207,36.51231,118.543,"Linqu County, Weifang City, Shandong Province, China"
208,42.338772,118.691437,"Dangpudi Manchu Township, Songshan District, Chifeng City, Inner Mongolia Autonomous Region, China"
209,41.01797,118.70065,"Pingquan City, Chengde City, Hebei Province, China"
210,41.015973,118.712307,"Pingquan City, Chengde City, Hebei Province, China"
211,35.57997,118.83687,"Ju county, Rizhao City, Shandong Province, China"
212,42.277342,119.006312,"Hongshan District, Chifeng City, Inner Mongolia Autonomous Region, China"
213,41.57085,119.170181,"Yikenzhong Township, Ningcheng County, Chifeng City, Inner Mongolia Autonomous Region, China"
214,35.572449,119.177628,"Jiejie Town, Wulian County, Rizhao City, Shandong Province, China"
215,39.87634,119.24444,"Funing District, Qinhuangdao City, Hebei Province, China"
216,36.85884,119.39862,"Changyi City, Weifang City, Shandong Province, China"
217,39.83507,119.48458,"Beidaihe District, Qinhuangdao City, Hebei Province, China"
218,41.12738,119.74048,"Karaqin left wing Mongolian Autonomous County, Chaoyang City, Liaoning Province, China"
219,36.570232,120.108078,"Pingdu City, Qingdao City, Shandong Province, China"
220,36.342112,120.200111,"Jiaozhou City, Qingdao City, Shandong Province, China"
221,36.38932,120.44715,"Jimo District, Qingdao City, Shandong Province, China"
222,36.10811,120.46803,"Laoshan District, Qingdao City, Shandong Province, China"
223,37.547027,120.49118,"Longkou City, Yantai City, Shandong Province, China"
224,37.738585,120.626342,"Penglai District, Yantai City, Shandong Province, China"
225,37.063396,120.683441,"Heluo Town, Laiyang City, Yantai City, Shandong Province, China"
226,37.33592,120.84956,"Qixia City, Yantai City, Shandong Province, China"
227,38.895691,121.358429,"Ganjingzi District, Dalian City, Liaoning Province, China"
228,42.00025,121.578266,"Fuxin Mongolian Autonomous County, Fuxin City, Liaoning Province, China"
229,41.608548,121.719782,"Toutai Town, Yi County, Jinzhou City, Liaoning Province, China"
230,39.017335,121.80999,"Jinzhou District, Dalian City, Liaoning Province, China"
231,41.93792,121.851891,"Daban Town, Fuxin Mongolian Autonomous County, Fuxin City, Liaoning Province, China"
232,46.080082,122.038579,"Ulanhot City, Xing'an League, Inner Mongolia Autonomous Region, China"
233,37.447061,122.080421,"Huancui District, Weihai City, Shandong Province, China"
234,43.62244,122.25615,"Horqin district, Tongliao City, Inner Mongolia Autonomous Region, China"
