name,longitude,latitude,prov,date,key
Pinus tabuliformis Carrière,117.09,40.5,gbif,1952/1/1,2417494005
Pinus tabuliformis Carrière,117.88,41.02,gbif,1952/1/1,2417598363
Pinus tabuliformis Carrière,118.2,40.99,gbif,1952/1/1,2417600752
Pinus tabuliformis Carrière,109.5,34.49,gbif,1952/1/1,2417729068
Pinus tabuliformis Carrière,104.47,34.84,gbif,1952/1/1,2417733427
Pinus tabuliformis Carrière,102.54,30.91,gbif,1952/1/1,2417738603
Pinus tabuliformis Carrière,102.54,30.91,gbif,1952/1/1,2417742167
Pinus tabuliformis Carrière,102.54,30.91,gbif,1952/1/1,2417743098
Pinus tabuliformis Carrière,102.54,30.91,gbif,1952/1/1,2417745276
Pinus tabuliformis Carrière,102.54,30.91,gbif,1952/1/1,2417746418
Pinus tabuliformis Carrière,117.72,40.44,gbif,1951/1/1,2417345706
Pinus tabuliformis Carrière,114.51,37.28,gbif,1951/1/1,2417346860
Pinus tabuliformis Carrière,114.51,37.28,gbif,1951/1/1,2417347676
Pinus tabuliformis Carrière,117.72,40.44,gbif,1951/1/1,2417347758
Pinus tabuliformis Carrière,114.51,37.28,gbif,1951/1/1,2417347767
Pinus tabuliformis Carrière,113.22,40.05,gbif,1951/1/1,2417436905
Pinus tabuliformis Carrière,121.61,38.91,gbif,1951/1/1,2417438997
Pinus tabuliformis Carrière,105.72,34.56,gbif,1951/1/1,2417452187
Pinus tabuliformis Carrière,108.31,33.31,gbif,1951/1/1,2417464475
Pinus tabuliformis Carrière,128.51,42.78,gbif,1951/1/1,2417466311
Pinus tabuliformis Carrière,128.51,42.78,gbif,1951/1/1,2417467474
Pinus tabuliformis Carrière,108.31,33.31,gbif,1951/1/1,2417469137
Pinus tabuliformis Carrière,128.51,42.78,gbif,1951/1/1,2417469276
Pinus tabuliformis Carrière,115.1,40.49,gbif,1951/1/1,2417486379
Pinus tabuliformis Carrière,115.1,40.49,gbif,1951/1/1,2417486551
Pinus tabuliformis Carrière,115.1,40.49,gbif,1951/1/1,2417486865
Pinus tabuliformis Carrière,117.09,40.5,gbif,1951/1/1,2417488426
Pinus tabuliformis Carrière,117.09,40.5,gbif,1951/1/1,2417489930
Pinus tabuliformis Carrière,115.1,40.49,gbif,1951/1/1,2417490452
Pinus tabuliformis Carrière,117.09,40.5,gbif,1951/1/1,2417492034
Pinus tabuliformis Carrière,117.09,40.5,gbif,1951/1/1,2417492759
Pinus tabuliformis Carrière,117.09,40.5,gbif,1951/1/1,2417492773
Pinus tabuliformis Carrière,117.08,36.2,gbif,1951/1/1,2417708735
Pinus tabuliformis Carrière,114.51,37.28,gbif,1950/1/1,2417349468
Pinus tabuliformis Carrière,119.48,39.83,gbif,1950/1/1,2417360825
Pinus tabuliformis var. umbraculifera T.N.Liou & Q.L.Wang,122.96,41.07,gbif,1950/1/1,2417362683
Pinus tabuliformis var. umbraculifera T.N.Liou & Q.L.Wang,122.96,41.07,gbif,1950/1/1,2417363627
Pinus tabuliformis Carrière,121.61,38.91,gbif,1950/1/1,2417436367
Pinus tabuliformis Carrière,105.72,34.56,gbif,1950/1/1,2417448842
Pinus tabuliformis Carrière,123.41,41.82,gbif,1950/1/1,2417690392
Pinus tabuliformis Carrière,123.41,41.82,gbif,1950/1/1,2417693942
Pinus tabuliformis Carrière,123.41,41.82,gbif,1950/1/1,2417695829
Pinus tabuliformis Carrière,114.71,39.36,gbif,1950/1/1,2417724795
Pinus tabuliformis Carrière,122.42,40.24,gbif,1950/1/1,2417754194
Pinus tabuliformis Carrière,122.42,40.24,gbif,1950/1/1,2417754368
Pinus tabuliformis Carrière,4.433055,50.766111,gbif,1949/10/1,1840510959
Pinus tabuliformis Carrière,94.83,29.97,gbif,1946/12/23,1675873268
Pinus tabuliformis Carrière,93.9,29.13,gbif,1938/5/25,1675791104
Pinus tabuliformis Carrière,-73.964726,40.668063,gbif,1934/10/1,1927929862
Pinus tabuliformis Carrière,-77.601452,43.136463,gbif,1934/10/1,1930241171
Pinus tabuliformis var. tabuliformis,106.03,38.97,gbif,1933/9/15,1020041286
Pinus tabuliformis Carrière,129.794444,42.76339,gbif,1930/7/13,2443048549
Pinus tabuliformis var. tabuliformis,102.03,30.05,gbif,1930/9/7,1020041187
Pinus tabuliformis var. tabuliformis,118.17,30.08,gbif,1925/7/15,1020041363
Pinus tabuliformis var. tabuliformis,118.17,30.08,gbif,1925/7/17,1020041364
Pinus tabuliformis var. tabuliformis,111.77,39.02,gbif,1922/9/7,1020041309
Pinus tabuliformis Carrière,115.42,39.98,gbif,1921/8/19,1095963574
Pinus tabuliformis var. tabuliformis,100.2,26.57,gbif,1916/5/19,1020041348
Pinus tabuliformis Carrière,116.04472,39.97333,gbif,1915/4/3,1135457096
Pinus tabuliformis var. tabuliformis,110.07,34.48,gbif,1913/12/29,1020041141
Pinus tabuliformis Carrière,120.16889,30.25528,gbif,1912/2/20,1135457125
Pinus tabuliformis Carrière,123.43,41.8,gbif,1903/7/14,2573216518
Pinus tabuliformis Carrière,116.73333,40.58333,gbif,NA,41391574
Pinus tabuliformis Carrière,112,37,gbif,NA,41391585
Pinus tabuliformis Carrière,112.683333,27.25,gbif,NA,574719779
Pinus tabuliformis var. tabuliformis,103.43,31.03,gbif,NA,1020041191
Pinus tabuliformis var. tabuliformis,103.33,31.22,gbif,NA,1020041292
Pinus tabuliformis var. tabuliformis,102.03,30.05,gbif,NA,1020041296
Pinus tabuliformis var. tabuliformis,103.08,29.37,gbif,NA,1020041303
Pinus tabuliformis var. tabuliformis,103.7,33.97,gbif,NA,1020041320
Pinus tabuliformis var. tabuliformis,102.85,28.02,gbif,NA,1020041333
Pinus tabuliformis var. tabuliformis,102.03,30.05,gbif,NA,1020041378
Pinus tabuliformis Carrière,18.0471,59.37,gbif,NA,1065300600
Pinus tabuliformis Carrière,170.516753,-45.848394,gbif,NA,1897715543
Pinus tabuliformis Carrière,176.266861,-38.164892,gbif,NA,1897722142
Pinus tabuliformis Carrière,177.717444,-38.558583,gbif,NA,2883313128
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.24,33.03,gbif,1959/1/1,2417759936
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.24,33.03,gbif,1959/1/1,2417763102
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1958/1/1,2417417112
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1958/1/1,2417423812
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1958/1/1,2417433963
