No.,Site,Site name,Longitude (°E),Latitude (°N),Elevation (m),Pinus松属,Pinus Diploxylon松属(双维管束),Pinus Haploxylon松属(单维管束),Pinus + Picea松属+云衫属,Pinus + Picea + Abies松属+云杉属+冷杉属,Pinus koraiensis红松,Pinus pumila偃松,Pinus sylvestris var mongolica樟子松
46,阿尔泰山 ATM02,Altai Mt ATM02,88.759 ,44.383 ,533 ,1.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
47,阿尔泰山 ATM03,Altai Mt ATM03,88.827 ,44.606 ,526 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
48,阿尔泰山 ATM04,Altai Mt ATM04,89.082 ,44.975 ,681 ,1.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
49,阿尔泰山 ATM05,Altai Mt ATM05,89.421 ,45.411 ,1024 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
50,阿尔泰山 ATM06,Altai Mt ATM06,89.519 ,45.569 ,979 ,1.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
51,阿尔泰山 ATM07,Altai Mt ATM07,89.500 ,45.857 ,1045 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
52,阿尔泰山 ATM08,Altai Mt ATM08,89.553 ,46.243 ,932 ,0.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
53,阿尔泰山 ATM09,Altai Mt ATM09,89.574 ,46.585 ,939 ,0.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
54,阿尔泰山 ATM10,Altai Mt ATM10,89.209 ,46.890 ,993 ,1.31 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
55,阿尔泰山 ATM11,Altai Mt ATM11,88.917 ,47.048 ,819 ,2.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
56,阿尔泰山 ATM12,Altai Mt ATM12,88.587 ,47.204 ,704 ,1.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
57,阿尔泰山 ATM13,Altai Mt ATM13,88.225 ,47.250 ,582 ,2.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
58,阿尔泰山 ATM14,Altai Mt ATM14,87.806 ,47.377 ,504 ,1.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
59,阿尔泰山 ATM15,Altai Mt ATM15,87.850 ,47.469 ,505 ,1.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
60,阿尔泰山 ATM16,Altai Mt ATM16,87.992 ,47.635 ,709 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
61,阿尔泰山 ATM17,Altai Mt ATM17,87.904 ,47.560 ,533 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
62,阿尔泰山 ATM18,Altai Mt ATM18,87.590 ,47.432 ,493 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,阿尔泰山 ATM19,Altai Mt ATM19,87.506 ,47.415 ,484 ,3.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
64,阿尔泰山 ATM20,Altai Mt ATM20,87.528 ,47.430 ,504 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
65,阿尔泰山 ATM21,Altai Mt ATM21,87.401 ,47.445 ,482 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
66,阿尔泰山 ATM22,Altai Mt ATM22,87.342 ,47.488 ,498 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
67,阿尔泰山 ATM23,Altai Mt ATM23,87.266 ,47.022 ,482 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
68,阿尔泰山 ATM24,Altai Mt ATM24,87.204 ,47.061 ,480 ,1.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
69,阿尔泰山 ATM25,Altai Mt ATM25,87.172 ,47.120 ,479 ,5.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
70,阿尔泰山 ATM26,Altai Mt ATM26,87.090 ,47.168 ,494 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
71,阿尔泰山 ATM27,Altai Mt ATM27,87.205 ,47.054 ,483 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
72,阿尔泰山 ATM28,Altai Mt ATM28,87.378 ,46.961 ,484 ,1.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
73,阿尔泰山 ATM29,Altai Mt ATM29,87.320 ,46.995 ,483 ,0.62 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
74,阿尔泰山 ATM30,Altai Mt ATM30,88.358 ,48.121 ,2446 ,0.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
75,阿尔泰山 ATM31,Altai Mt ATM31,87.673 ,47.705 ,621 ,0.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
76,阿尔泰山 ATM32,Altai Mt ATM32,87.676 ,47.745 ,512 ,0.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
77,阿尔泰山 ATM33,Altai Mt ATM33,86.756 ,48.689 ,1358 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
78,阿尔泰山 ATM34,Altai Mt ATM34,86.912 ,48.810 ,1760 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
79,阿尔泰山 ATM35,Altai Mt ATM35,86.924 ,48.807 ,1761 ,3.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
80,阿尔泰山 ATM36,Altai Mt ATM36,86.919 ,48.803 ,1795 ,1.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
81,阿尔泰山 ATM37,Altai Mt ATM37,86.900 ,48.828 ,1816 ,2.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
82,阿尔泰山 ATM38,Altai Mt ATM38,86.918 ,48.808 ,1770 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
83,阿尔泰山 ATM39,Altai Mt ATM39,86.913 ,48.810 ,1774 ,1.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
84,阿尔泰山 ATM40,Altai Mt ATM40,86.934 ,48.808 ,1768 ,0.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
85,阿尔泰山 ATM41,Altai Mt ATM41,86.929 ,48.808 ,1792 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
86,阿尔泰山 ATM42,Altai Mt ATM42,86.962 ,48.721 ,1650 ,0.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
87,阿尔泰山 ATM43,Altai Mt ATM43,87.019 ,48.718 ,1373 ,0.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
88,阿尔泰山 ATM44,Altai Mt ATM44,87.552 ,48.572 ,1390 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
89,阿尔泰山 ATM45,Altai Mt ATM45,87.553 ,48.572 ,1396 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
90,阿尔泰山 ATM47,Altai Mt ATM47,88.160 ,47.951 ,1127 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
91,阿尔泰山 ATM48,Altai Mt ATM48,88.232 ,47.993 ,1500 ,1.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
92,阿尔泰山 ATM49,Altai Mt ATM49,88.292 ,48.012 ,1838 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
93,阿尔泰山 ATM50,Altai Mt ATM50,88.309 ,48.013 ,1987 ,10.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
94,阿尔泰山 ATM51,Altai Mt ATM51,88.351 ,48.034 ,2122 ,1.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
95,阿尔泰山 ATM52,Altai Mt ATM52,88.366 ,48.087 ,2361 ,1.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
96,阿尔泰山 ATM53,Altai Mt ATM53,87.449 ,47.644 ,484 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
97,阿尔泰山 ATM54,Altai Mt ATM54,89.816 ,46.674 ,1093 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
98,阿尔泰山 ATM55,Altai Mt ATM55,90.874 ,46.781 ,2662 ,5.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
99,阿尔泰山 ATM56,Altai Mt ATM56,90.854 ,46.819 ,2650 ,3.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
100,阿尔泰山 ATM57,Altai Mt ATM57,90.868 ,46.732 ,2554 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
101,阿尔泰山 ATM58,Altai Mt ATM58,90.835 ,46.727 ,2337 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
102,阿尔泰山 ATM59,Altai Mt ATM59,90.811 ,46.673 ,1800 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
103,阿尔泰山 ATM60,Altai Mt ATM60,90.795 ,46.662 ,1712 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
104,阿尔泰山 ATM61,Altai Mt ATM61,90.764 ,46.649 ,1606 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
105,阿尔泰山 ATM63,Altai Mt ATM63,90.776 ,46.647 ,1565 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
106,阿尔泰山 ATM64,Altai Mt ATM64,90.798 ,46.624 ,1519 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
107,阿尔泰山 ATM65,Altai Mt ATM65,90.772 ,46.600 ,1438 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
108,阿尔泰山 ATM66,Altai Mt ATM66,90.648 ,46.429 ,1233 ,0.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
109,阿尔泰山 ATM67,Altai Mt ATM67,90.407 ,46.312 ,1126 ,1.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
110,阿尔泰山 ATM68,Altai Mt ATM68,90.259 ,46.559 ,1181 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
111,阿尔泰山 ATM69,Altai Mt ATM69,90.836 ,46.899 ,2396 ,0.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
112,阿尔泰山 ATM70,Altai Mt ATM70,90.843 ,46.853 ,2491 ,0.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
113,阿尔泰山 ATM71,Altai Mt ATM71,87.541 ,47.696 ,483 ,2.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
114,阿尔泰山 ATM72,Altai Mt ATM72,87.540 ,47.696 ,483 ,3.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
115,昂拉露,Angren,87.400 ,29.200 ,4300 ,0.00 ,3.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
116,阿其克库勒湖,Aqikekule,89.000 ,36.670 ,4680 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
117,白河,Baihe,115.850 ,40.870 ,865 ,1.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
118,百花山 01,Baihua Mt 01,115.600 ,39.900 ,1980 ,5.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
119,百花山 02,Baihua Mt 02,115.600 ,39.900 ,1900 ,17.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
120,百花山 03,Baihua Mt 03,115.600 ,39.900 ,1900 ,3.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
121,百花山 04,Baihua Mt 04,115.600 ,39.900 ,1820 ,3.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
122,百花山 05,Baihua Mt 05,115.600 ,39.900 ,1720 ,14.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
123,百花山 06,Baihua Mt 06,115.600 ,39.900 ,1600 ,4.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
124,百花山 07,Baihua Mt 07,115.600 ,39.900 ,1500 ,19.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
125,百花山 08,Baihua Mt 08,115.600 ,39.900 ,1420 ,5.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
126,百花山 09,Baihua Mt 09,115.600 ,39.900 ,1400 ,22.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
127,百花山 10,Baihua Mt 10,115.600 ,39.900 ,1340 ,9.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
128,白洋淀 1,Baiyangdian 1,116.030 ,38.870 ,20 ,3.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
129,白洋淀 2,Baiyangdian 2,116.030 ,38.870 ,20 ,7.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
130,白洋淀 3,Baiyangdian 3,116.030 ,38.870 ,20 ,6.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
131,白洋淀 4,Baiyangdian 4,116.030 ,38.870 ,20 ,4.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
132,白洋淀 5,Baiyangdian 5,116.030 ,38.870 ,20 ,7.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
133,白洋淀 6,Baiyangdian 6,116.030 ,38.870 ,20 ,14.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
134,巴克窑,Bakeyao,122.350 ,42.950 ,249 ,0.00 ,14.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
135,巴里坤湖,Balikun Lake,92.800 ,43.700 ,2027 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
136,宝清 1,Bao Qing 1,132.070 ,45.950 ,272 ,0.00 ,0.00 ,0.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
137,宝清 2,Bao Qing 2,132.070 ,45.950 ,272 ,0.00 ,0.00 ,0.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
138,宝清 3,Bao Qing 3,132.070 ,45.950 ,272 ,0.00 ,0.00 ,16.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
139,宝清 4,Bao Qing 4,132.070 ,45.950 ,272 ,0.00 ,0.00 ,9.41 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
140,宝清 5,Bao Qing 5,131.730 ,45.580 ,388 ,0.00 ,0.00 ,18.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
